UAV,Smoke#,t_release,t_fuze,t_burst,t_end
UAV3,1,1.8779324761908356e-09,0.5000000002672604,0.5000000021451929,8.500000002145192
UAV2,3,1.6342265647459495,1.391597032641621,3.0258235973875705,11.025823597387571
UAV1,2,2.670555420300273,2.9979896653663003,5.668545085666573,13.668545085666572
UAV5,3,4.748294373877856,2.0572988877491634,6.80559326162702,14.80559326162702
UAV4,1,9.77095819845081,1.2823999237072967,11.053358122158107,19.05335812215811
UAV5,2,9.692593896235106,1.3766526257169915,11.069246521952097,19.069246521952095
UAV1,1,8.896798842859585,2.268498838743506,11.165297681603091,19.165297681603093
UAV4,2,13.985280448524144,2.77399206286118,16.759272511385323,24.759272511385323
UAV3,3,17.303319715335604,1.566872273039913,18.870191988375517,26.870191988375517
UAV3,2,17.328192388730596,2.04926538488535,19.377457773615944,27.377457773615944
UAV2,2,23.297765753616048,2.593537607347887,25.891303360963935,33.89130336096393
UAV2,1,24.463563848380147,2.1325821791996504,26.5961460275798,34.5961460275798
UAV5,1,25.889104375727513,1.0295754528357803,26.918679828563292,34.91867982856329
UAV4,3,25.171603529242635,2.073485843765428,27.245089373008064,35.245089373008064
UAV1,3,27.95549607029963,2.532072454830888,30.48756852513052,38.48756852513052
